,67205,-202.7.00,237,-163,,,,
2526,328,14468,-5660,29.61,76,-35,-323,
2527,320,14700,-5348,29.52,-305,-202.7.00,237,-163
2526,328,14468,-5660,29.61,76,-35,-323,
2527,320,14700,-5348,29.52,-305,-202,,
Sample,aX,aY,az,Temp,gX,gY,gz                                                   ,
1,5952,8244,-9840,29.61,865,-2874,1958,
2,6088,8688,-10868,29.52,3199,-2412,1277,
3,7336,6280,-10600,29.66,5913,-489,1047,
4,6024,7424,-11640,29.61,5020,-2604,1060,
5,5176,6504,-12356,29.57,4993,-2204,2233,
6,6144,6076,-13492,29.61,3665,-1672,2564,
7,5072,6808,-12740,29.57,1467,-368,1118,
8,6256,5148,-12852,29.61,1036,-27,1369,
9,5204,4232,-14240,29.66,1711,766,500,
10,6316,4476,-13208,29.61,2546,-351,712,
11,6196,5456,-12596,29.57,1110,1596,-456,
12,5556,5504,-12356,29.61,1192,-750,497,
13,4896,4644,-13128,29.57,2403,-161,801,
14,4848,3888,-13900,29.61,1198,555,671,
15,5664,3912,-13860,29.61,825,696,1804,
16,6124,2808,-13348,29.66,1583,-735,2083,
17,6660,2968,-13004,29.61,798,-769,1163,
18,6752,2716,-13948,29.52,1308,-306,255,
19,5512,2120,-13708,29.57,1033,222,-867,
20,5808,3084,-13956,29.61,-523,-148,-912,
21,5740,3432,-14052,29.66,63,-42,-1110,
22,6024,1192,-12812,29.57,1659,229,-1119,
23,7428,1788,-11208,29.61,60,-2426,-1850,
24,5012,6024,-18168,29.57,-1310,-556,-3856,
25,5036,1408,-11844,29.57,1645,526,-15,
26,5852,2020,-15244,29.52,1118,146,1258,
27,5676,2180,-14132,29.57,382,-164,-644,
28,5436,2564,-14092,29.52,-1324,-267,-115,
29,5444,2676,-13592,29.61,-706,-313,78,
30,5704,2480,-13768,29.61,-734,-112,44,
31,5620,2656,-13856,29.57,-318,-400,247,
32,5588,2096,-14176,29.75,-239,-469,148,
33,5544,2100,-13924,29.71,-244,-440,48,
34,5616,2104,-13880,29.57,-220,-218,41,
35,5564,2036,-13988,29.57,-135,-179,-120,
36,5580,2224,-13932,29.52,-138,-149,-194,
37,5528,2144,-13772,29.66,-311,-77,-171,
38,5596,2244,-13656,29.61,-312,-63,-193,
39,5536,2224,-13900,29.57,-271,-122,-233,
40,5580,2284,-13952,29.52,-255,-160,-224,
41,5720,2096,-13984,29.47,-276,-210,-151,
42,5588,2064,-14076,29.61,-244,-183,-176,
43,5584,2144,-13884,29.61,-353,-131,-273,
44,5444,2152,-14084,29.66,-423,-89,-217,
45,5636,2024,-13972,29.66,-333,-126,-184,
46,5612,2172,-13864,29.57,-337,-133,-213,
47,5696,2160,-13956,29.61,-275,-139,-170,
48,5664,2088,-13952,29.47,-323,-192,-126,
49,5692,2172,-13704,29.66,-399,-169,-178,
50,5676,2064,-13764,29.52,-335,-242,-166,
51,5688,2068,-13812,29.57,-306,-203,-208,
52,5596,2048,-13964,29.61,-351,-191,-180,
53,5596,2088,-13836,29.57,-363,-181,-278,
54,5636,2096,-13836,29.61,-348,-149,-244,
55,5628,2064,-14008,29.57,-320,-164,-175,
56,5584,2048,-13816,29.66,-237,-149,-184,
57,5728,2016,-13924,29.61,-323,-175,-194,
58,5632,1972,-13740,29.57,-212,-166,-219,
59,5700,1952,-13908,29.52,-396,-222,-19˘                         ,
Sample,aX,aY,az,Temp,gX,gY,gz                                                   ,
1,5560,2128,-13816,29.57,-375,-139,-190,
2,5576,2100,-13960,29.61,-284,-185,-160,
3,5540,2128,-13960,29.66,-295,-188,-261,
4,5568,2116,-14020,29.57,-307,-144,-178,
5,5580,2148,-13932,29.61,-339,-181,-154,
6,5652,2156,-13820,29.66,-247,-130,-79,
7,5736,2136,-13980,29.66,-262,-139,-62,
8,5680,1968,-13996,29.61,-284,-191,-89,
9,5584,2052,-14068,29.52,-331,-203,-153,
10,5672,2132,-14000,29.66,-370,-193,-142,
11,5472,2100,-13884,29.61,-422,-188,-174,
12,5652,2100,-13844,29.57,-348,-189,-140,
13,5536,2024,-13932,29.61,-353,-218,-131,
14,5548,2012,-13808,29.66,-354,-168,-154,
15,5544,2132,-13876,29.57,-314,-154,-150,
16,5636,2036,-13832,29.52,-412,-193,-72,
17,5620,2120,-13812,29.47,-417,-229,-173,
18,5600,2112,-13912,29.61,-367,-175,-155,
19,5576,2076,-13904,29.66,-377,-152,-104,
20,5560,2008,-13712,29.57,-359,-197,-94,
21,5560,2148,-14016,29.66,-423,-226,-146,
22,5580,2016,-13932,29.66,-368,-149,-155,
23,5592,2108,-13896,29.61,-432,-189,-179,
24,5568,1984,-13868,29.57,-354,-207,-141,
25,5476,2020,-13956,29.57,-353,-189,-148,
26,5692,2080,-13808,29.61,-380,-158,-153,
27,5596,2216,-13908,29.57,-276,-169,-108,
28,5560,2016,-13932,29.61,-361,-186,-90,
29,5584,2036,-13720,29.38,-377,-228,-201,
30,5624,1984,-13784,29.61,-392,-165,-145,
31,5640,2088,-14068,29.52,-369,-223,-153,
32,5668,2044,-13872,29.57,-416,-213,-164,
33,5588,2084,-13952,29.61,-417,-248,-217,
34,5704,2116,-13920,29.57,-435,-202,-157,
35,5608,2084,-13808,29.66,-369,-238,-139,
36,5600,2104,-14052,29.61,-433,-237,-189,
37,5592,2168,-13932,29.57,-387,-203,-171,
38,5596,2100,-13928,29.66,-356,-197,-170,
39,5608,2008,-13828,29.61,-320,-220,-154,
40,5560,2144,-13872,29.57,-409,-206,-212,
41,5532,2144,-13796,29.61,-367,-195,-198,
42,5548,2084,-13892,29.66,-333,-150,-77,
43,5592,2088,-13756,29.61,-320,-164,-136,
44,5612,2128,-13920,29.66,-394,-198,-190,
45,5612,2104,-13864,29.57,-394,-199,-132,
46,5524,2108,-13836,29.61,-385,-166,-188,
47,5524,2168,-13932,29.66,-364,-166,-163,
48,5576,2080,-13924,29.61,-342,-198,-103,
49,5592,2100,-13964,29.61,-370,-213,-151,
50,5540,2160,-13716,29.57,-306,-157,-117,
51,5560,2048,-13888,29.52,-445,-209,-173,
52,5512,2116,-13964,29.57,-384,-160,-171,
53,5532,2136,-13904,29.57,-321,-149,-76,
54,5600,2012,-13908,29.57,-315,-196,-155,
55,5600,2068,-13936,29.57,-392,-194,-161,
56,5656,2112,-13904,29.52,-351,-175,-122,
57,5620,2140,-13856,29.57,-367,-177,-166,
58,5584,2132,-13952,29.47,-361,-161,-166,
59,5660,2136,-13808,29.61,-313,-164,-124,
60,5580,2148,-13948,29.57,-350,-185,-127,
61,5568,2032,-13880,29.52,-301,-207,-125,
62,5664,2060,-13908,29.57,-423,-188,-128,
63,5588,2168,-13860,29.66,-340,-211,-134,
64,5568,2104,-13960,29.61,-306,-157,-114,
65,5596,2080,-13892,29.57,-364,-200,-130,
66,5592,2088,-13924,29.61,-377,-154,-131,
67,5620,2052,-13792,29.57,-357,-204,-190,
68,5568,2140,-13908,29.61,-356,-161,-120,
69,5632,2116,-13856,29.61,-353,-180,-171,
70,5568,2128,-13912,29.66,-380,-176,-137,
71,5624,2092,-13836,29.61,-342,-193,-173,
72,5532,2028,-13896,29.57,-343,-213,-180,
73,5704,2196,-14048,29.61,-318,-180,-161,
74,5612,2100,-13776,29.57,-412,-203,-194,
75,5584,2120,-13972,29.57,-337,-175,-151,
76,5628,1996,-13976,29.61,-396,-137,-170,
77,5580,2032,-13764,29.66,-329,-172,-186,
78,5660,2120,-13944,29.52,-428,-199,-248,
79,5656,2064,-13984,29.61,-398,-240,-210,
80,5552,2080,-13980,29.66,-371,-220,-206,
81,5556,2156,-13948,29.61,-370,-218,-190,
82,5680,2160,-13852,29.57,-373,-207,-191,
83,5588,2064,-13784,29.57,-407,-234,-230,
84,5620,2068,-14044,29.61,-399,-227,-216,
85,5512,2100,-13996,29.57,-328,-227,-181,
86,5628,2140,-13768,29.61,-450,-247,-211,
87,5504,2152,-13872,29.61,-342,-167,-199,
88,5580,2292,-13904,29.57,-360,-167,-153,
89,5592,2060,-13896,29.61,-319,-212,-198,
90,5620,2132,-13900,29.61,-381,-163,-181,
91,5580,2224,-13796,29.57,-364,-188,-226,
92,5580,2048,-13856,29.61,-365,-168,-199,
93,5640,2100,-13992,29.57,-357,-170,-172,
94,5604,2228,-13996,29.57,-377,-181,-188,
95,5560,2160,-13892,29.61,-323,-174,-209,
96,5660,2132,-13832,29.57,-353,-164,-190,
97,5632,2160,-13948,29.61,-342,-191,-171,
98,5624,2088,-13968,29.52,-403,-222,-166,
