,-184864,-4192,30.74,-2214,996,-62,,
615,2556,15100,15216,-4548,30.79,-2827,626,-1603
614,2440,14864,-4192,30.74,-2214,996,-62,
615,2556,1510,,,,,,
Sample,aX,aY,az,Temp,gX,gY,gz                                                   ,
1,2900,15244,-3740,30.69,-343,-236,-183,
2,2880,15180,-3752,30.84,-386,-176,-71,
3,2840,15196,-3772,30.79,-295,-202,-149,
4,2916,15084,-3848,30.84,-250,-83,-168,
5,2864,15128,-3848,30.79,-365,-137,-289,
6,2832,15140,-3832,30.84,-155,-73,-105,
7,3092,15892,-4040,30.79,556,-189,-98,
8,2644,14540,-3984,30.74,1589,1649,1683,
9,3468,15116,-4332,30.79,2565,1829,1252,
10,3036,14284,-4160,30.84,3696,1559,2615,
11,4164,14360,-5320,30.84,6455,1021,1981,
12,4668,13376,-6044,30.84,5684,381,2709,
13,4712,13940,-7556,30.79,3441,-721,1492,
14,360,12240,-2500,30.79,4001,1068,3710,
15,4864,12244,-6940,30.84,4274,-873,2951,
16,7424,11976,-6960,30.84,2748,-4290,2522,
17,7748,10376,-7360,30.84,1072,-2568,-316,
18,5516,11952,-9604,30.84,-2431,-2574,-2162,
19,3872,12048,-7636,30.79,-2646,-843,-453,
20,4380,12604,-7444,30.88,124,-827,-411,
21,4568,12144,-8628,30.74,1177,-1540,-946,
22,3732,12236,-8380,30.74,786,1,-72,
23,4228,12156,-8596,30.84,-660,-153,-486,
24,4240,12444,-8464,30.79,-350,-919,-444,
25,4352,12044,-8156,30.79,-427,-830,-595,
26,4288,12140,-8576,30.79,-1168,-705,-785,
27,4332,12464,-8224,30.79,-73,245,-780,
28,3888,12376,-8628,30.84,-249,628,-455,
29,3940,12376,-8444,30.79,-783,109,-124,
30,3916,12432,-7920,30.79,-564,81,-227,
31,4076,12296,-8180,30.79,-309,-424,-259,
32,4044,12448,-8332,30.79,-280,-253,-16,
33,4124,12284,-8472,30.74,-227,-232,-268,
34,4080,12324,-8184,30.84,-643,-207,-214,
35,3976,12384,-8168,30.84,-658,-419,-241,
36,3896,12584,-8488,30.79,-710,-506,-289,
37,4052,12408,-8208,30.88,-754,-513,-131,
38,3980,12588,-8396,30.88,-1109,-751,-230,
39,3896,12380,-7992,30.79,-1289,-238,-368,
40,3880,12684,-8392,30.79,-795,-62,-845,
41,3896,12624,-8076,30.74,794,1749,-1251,
42,3788,12600,#NAME?,,,,,
Sample,aX,aY,az,Temp,gX,gY,gz                                                   ,
1,3664,12360,-8416,30.84,-363,-173,-144,
2,3628,12444,-8372,30.88,-315,-170,-189,
3,3752,12460,-8452,30.74,-368,-200,-113,
4,3732,12364,-8348,30.79,-358,-250,-195,
5,3772,12432,-8440,30.88,-470,-174,-145,
6,3656,12376,-8424,30.74,-501,-262,-189,
7,3712,12352,-8308,30.84,-372,-231,-210,
8,3632,12396,-8240,30.79,-391,-234,-146,
9,3608,12416,-8336,30.88,-395,-211,-232,
10,3552,12408,-8348,30.74,-337,-174,-146,
11,3660,12468,-8388,30.88,-333,-178,-213,
12,3560,12480,-8240,30.69,-380,-168,-155,
13,3712,12440,-8420,30.69,-388,-168,-193,
14,3652,12460,-8492,30.79,-372,-221,-218,
15,3684,12496,-8364,30.79,-435,-203,-139,
16,3648,12476,-8180,30.79,-370,-189,-207,
17,3700,12468,-8384,30.88,-392,-196,-123,
18,3624,12424,-8364,30.79,-326,-184,-122,
19,3724,12452,-8376,30.84,-470,-200,-180,
20,3720,12488,-8236,30.74,-461,-139,-294,
21,3680,12476,-8188,30.74,-342,-155,-70,
22,3748,12512,-8220,30.74,-337,-159,-140,
23,3644,12500,-8304,30.88,-382,-143,-158,
24,3680,12460,-8380,30.88,-447,-176,-246,
25,3692,12412,-8392,30.84,-369,-106,-134,
26,3696,12536,-8460,30.93,-383,-193,-198,
27,3680,12440,-8388,30.84,-235,-240,22,
28,3696,12464,-8276,30.88,-331,-276,-174,
