,-4,-710,192,,,,,,
541,4172,7592,-12224,31.64,1018,-966,1003,,
542,4212,6784,-11292,31.59,13,-215,,-710,192
541,4172,7592,-12224,31.64,1018,-966,1003,,
542,4212,6784,-11292,31.59,13,-215,,-710,192
541,4172,7592,-12224,31.64,1018,-966,1003,,
542,4212,6784,-11292,31.59,13,-215,                              ,,
Sample,aX,aY,az,Temp,gX,gY,gz                                                   ,,
1,10280,4996,-9620,31.68,-1104,3947,-1600,,
2,12184,3936,-9548,31.68,-1610,467,-256,,
3,11684,5104,-9288,31.68,-2393,2224,141,,
4,11352,6292,-9472,31.73,-3383,1738,441,,
5,12344,5308,-7576,31.64,249,7529,-156,,
6,12332,5728,-7184,31.64,-864,7326,1094,,
7,Ò                                                                             ,,,,,,,,
Sample,aX,aY,az,Temp,gX,gY,gz                                                   ,,
1,11608,6924,-8104,31.64,-431,-189,-138,,
2,11560,6928,-7996,31.64,-427,-282,-152,,
3,11572,7000,-7968,31.68,-470,-80,-139,,
4,11592,7024,-8204,31.68,-599,-382,-187,,
5,11628,7048,-8000,31.64,-472,-435,-227,,
6,11508,7020,-8112,31.64,-323,6,-50,,
7,11480,7056,-8056,31.64,-385,-111,-116,,
8,11548,6996,-8092,31.64,-284,-26,-108,,
9,11680,7044,-7868,31.64,-402,-115,-164,,
10,11688,7100,-8012,31.78,-409,-196,-94,,
11,11572,7076,-7964,31.64,-422,-156,-98,,
12,11608,7032,-8120,31.64,-429,-28,-95,,
13,11596,7056,-7988,31.64,-397,-188,-128,,
14,11428,7028,-8140,31.73,-357,-66,-138,,
15,11624,7108,-8076,31.64,-435,-72,-124,,
16,11528,7064,-7932,31.73,-334,-82,-130,,
17,11600,7044,-8088,31.64,-347,-37,-126,,
18,11592,7200,-7992,31.68,-379,-163,-128,,
19,11580,7024,-7912,31.68,-299,-217,-108,,
20,11624,7104,-8044,31.68,-400,-196,-108,,
21,11664,7136,-7848,31.68,-309,-269,-102,,
22,11540,7128,-8060,31.78,-302,-139,-61,,
23,11608,7136,-7964,31.59,-391,-167,-119,,
24,11580,7132,-8060,31.78,-337,-310,-130,,
25,11600,7104,-8076,31.68,-476,-500,-96,,
